code,common name,botanical name
WALIOO,little walnut,Juglans microcarpa
WAMIOO,walnut spp.,Juglans spp.
WIBEOO,bebb willow,Salix bebbiana
WIBLOO,black willow,Salix nigra
WICROO,crack willow,Salix fragilis
WIMATO,corkscrew willow,Salix matsudana 'Tortuosa'
WIMIOO,willow spp.,Salix spp.
WIPEOO,peachleaf willow,Salix amygdaloides
WIPUOO,pussy willow,Salix discolor
WISHOO,shining willow,Salix lucida
WIWEOO,weeping willow,Salix babylonica
WIWHOO,white willow,Salix alba
YECAOO,canada yew,Taxus canadensis
YECOOO,english yew,Taxus baccata
YEJAOO,japanese yew,Taxus cuspidata
YEOOOO,yew spp.,Taxus spp.
YWOOOO,yellow wood,Cladrastis kentukea
ZECOOO,zelkova,Zelkova serrata
ZESEGV,zelkova 'green vase',Zelkova serrata 'Green Vase'
